"Reference","Qty","Value","lcsc_id","DNP","Exclude from BOM","Exclude from Board"
"U1","1","TCA9517ADGK","C201698","","",""
"U2","1","SC18IS606PW","C5190384","","",""
"U3","1","ADC3544","","","",""
"U4","1","HD3SS3220","C165155","","",""
"U5","1","FT600","C5252722","","",""
"U6","1","ICE40UP5K-SG48ITR","C2678152","","",""
"U7","1","W25Q128JVS","C97521","","",""
"U8","1","TXB0104RGY","C400708","","",""
"U9","1","LMH6881","C701929","","",""
"U10,U11,U12,U13","4","TLV62569DDC","","","",""
"Y1","1","SiT9501","","","",""
"Y2","1","ABM10-30MHZ-E20-T","","","",""
